Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial: P>10 ms and Edot > 1e35
|name          |ra           |dec          |period           |period_error|period_dot |period_dot_error|age     |e_dot  |
|PSR J1406-6121|14 06 50.0400|-61 21 27.900|0.213074653776   |     1.4e-11|5.47010e-14|         3.0e-18|6.17e+04|2.2e+35|
|PSR J1938+2213|19 38 14.1800|+22 13 12.680|0.1661155731566  |     6.0e-13|4.24423e-14|         5.0e-19|6.20e+04|3.7e+35|
|PSR J0248+6021|02 48 18.6170|+60 21 34.720|0.217094         |     5.0e-06|5.50900e-14|         5.0e-17|6.24e+04|2.1e+35|
|PSR J1541-5535|15 41 49.6000|-55 35 01.000|0.29583755345    |     9.0e-11|7.50200e-14|         3.0e-17|6.25e+04|1.1e+35|
|PSR J1413-6205|14 13 29.9000|-62 05 38.000|0.10974069969    |     3.0e-11|2.76800e-14|         4.0e-18|6.28e+04|8.3e+35|
|PSR J1105-6107|11 05 26.1400|-61 07 48.940|0.0632021309179  |     8.0e-13|1.58446e-14|         8.0e-20|6.32e+04|2.5e+36|
|PSR J1459-6053|14 59 29.9900|-60 53 20.700|0.103150638274   |     1.1e-11|2.52704e-14|         6.0e-19|6.47e+04|9.1e+35|
|PSR J1850-0026|18 50 14.7140|-00 26 11.600|0.1666339242514  |     2.0e-12|3.91017e-14|         2.0e-18|6.75e+04|3.3e+35|
|PSR J1809-2332|18 09 50.2500|-23 32 22.680|0.146788548116   |     7.0e-12|3.44207e-14|         3.0e-19|6.76e+04|4.3e+35|
|PSR J1954+2836|19 54 19.1500|+28 36 06.000|0.0927090547     |     3.0e-10|2.11630e-14|         4.0e-18|6.94e+04|1.0e+36|
|PSR J1636-4440|16 36 16.5300|-44 40 25.000|0.20664850874    |     3.0e-11|4.67150e-14|         4.0e-18|7.01e+04|2.1e+35|
|PSR J1857+0143|18 57 33.0080|+01 43 47.000|0.139760064515   |     4.0e-12|3.11674e-14|         1.2e-18|7.10e+04|4.5e+35|
|PSR J0359+5414|03 59 26.0100|+54 14 55.700|0.0794272322920  |     1.3e-12|1.67336e-14|         7.0e-20|7.52e+04|1.3e+36|
|PSR J2021+4026|20 21 29.9900|+40 26 45.100|0.26531766093    |     5.0e-11|5.46820e-14|         3.0e-18|7.69e+04|1.2e+35|
|PSR J1828-1101|18 28 18.8000|-11 01 50.830|0.07205652531    |     7.0e-11|1.47972e-14|         1.1e-19|7.72e+04|1.6e+36|
|PSR J1928+1746|19 28 42.5530|+17 46 29.620|0.0687304058253  |     2.0e-13|1.31907e-14|         6.0e-21|8.26e+04|1.6e+36|
|PSR J1803-2149|18 03 09.6320|-21 49 13.000|0.106332094095   |     3.0e-12|1.95139e-14|         7.0e-20|8.63e+04|6.4e+35|
|PSR J1718-3825|17 18 13.5650|-38 25 18.060|0.0746699205656  |     4.0e-13|1.32217e-14|         7.0e-20|8.95e+04|1.3e+36|
|PSR J1028-5819|10 28 28.0000|-58 19 05.200|0.0914032309     |     1.4e-09|1.61000e-14|         8.0e-16|9.00e+04|8.3e+35|
|PSR J1531-5610|15 31 27.9010|-56 10 55.330|0.084206064052   |     3.0e-12|1.37939e-14|         1.0e-19|9.67e+04|9.1e+35|
|PSR J1909+0912|19 09 19.9100|+09 12 53.700|0.222949273318   |     1.5e-11|3.58050e-14|         5.0e-18|9.87e+04|1.3e+35|
|PSR J2006+3102|20 06 11.0000|+31 02 03.000|0.16369523645    |     9.0e-11|2.48720e-14|         9.0e-18|1.04e+05|2.2e+35|
|PSR J1952+3252|19 52 58.2060|+32 52 40.510|0.0395311928548  |     1.1e-12|5.84480e-15|         8.0e-21|1.07e+05|3.7e+36|
|PSR J1648-4611|16 48 22.0430|-46 11 15.750|0.164957688311   |     6.0e-12|2.37335e-14|         1.4e-18|1.10e+05|2.1e+35|
